sample,transform,detected,watermark_id,expected_id,id_match,crc_ok,confidence,repeats_voted
input,identity,True,8dbf9ba8,8dbf9ba8,True,True,0.7031,5
input,aac-128,True,8dbf9ba8,8dbf9ba8,True,True,0.7031,5
input,aac-192,True,8dbf9ba8,8dbf9ba8,True,True,0.7031,5
input,aac-256,True,8dbf9ba8,8dbf9ba8,True,True,0.7031,5
input,youtube-1080p,True,8dbf9ba8,8dbf9ba8,True,True,0.7031,5
input,youtube-720p,True,8dbf9ba8,8dbf9ba8,True,True,0.7031,5
input,metadata-stripped,True,8dbf9ba8,8dbf9ba8,True,True,0.7031,5
input,aac-64,True,8dbf9ba8,8dbf9ba8,True,True,0.6719,5
input,mp3-128,True,8dbf9ba8,8dbf9ba8,True,True,0.7109,5
input,opus-96,True,8dbf9ba8,8dbf9ba8,True,True,0.7031,5
input,volume-up-6db,True,8dbf9ba8,8dbf9ba8,True,True,0.7266,5
input,volume-down-6db,True,8dbf9ba8,8dbf9ba8,True,True,0.6797,5
output-es,identity,True,7af951c1,7af951c1,True,True,0.7266,5
output-es,aac-128,True,7af951c1,7af951c1,True,True,0.7188,5
output-es,aac-192,True,7af951c1,7af951c1,True,True,0.7188,5
output-es,aac-256,True,7af951c1,7af951c1,True,True,0.7188,5
output-es,youtube-1080p,True,7af951c1,7af951c1,True,True,0.7188,5
output-es,youtube-720p,True,7af951c1,7af951c1,True,True,0.7188,5
output-es,metadata-stripped,True,7af951c1,7af951c1,True,True,0.7266,5
output-es,aac-64,True,7af951c1,7af951c1,True,True,0.7266,5
output-es,mp3-128,True,7af951c1,7af951c1,True,True,0.7188,5
output-es,opus-96,True,7af951c1,7af951c1,True,True,0.7031,5
output-es,volume-up-6db,True,7af951c1,7af951c1,True,True,0.7031,5
output-es,volume-down-6db,True,7af951c1,7af951c1,True,True,0.7188,5
input-30s,identity,True,b523ccb5,b523ccb5,True,True,0.7109,2
input-30s,aac-128,True,b523ccb5,b523ccb5,True,True,0.7266,2
input-30s,aac-192,True,b523ccb5,b523ccb5,True,True,0.7188,2
input-30s,aac-256,True,b523ccb5,b523ccb5,True,True,0.7188,2
input-30s,youtube-1080p,True,b523ccb5,b523ccb5,True,True,0.7188,2
input-30s,youtube-720p,True,b523ccb5,b523ccb5,True,True,0.7266,2
input-30s,metadata-stripped,True,b523ccb5,b523ccb5,True,True,0.7109,2
input-30s,aac-64,True,b523ccb5,b523ccb5,True,True,0.7344,2
input-30s,mp3-128,True,b523ccb5,b523ccb5,True,True,0.7031,2
input-30s,opus-96,True,b523ccb5,b523ccb5,True,True,0.7109,2
input-30s,volume-up-6db,True,b523ccb5,b523ccb5,True,True,0.7188,2
input-30s,volume-down-6db,True,b523ccb5,b523ccb5,True,True,0.7109,2
input-mid30s,identity,True,a9cc67f1,a9cc67f1,True,True,0.7344,2
input-mid30s,aac-128,True,a9cc67f1,a9cc67f1,True,True,0.7266,2
input-mid30s,aac-192,True,a9cc67f1,a9cc67f1,True,True,0.7266,2
input-mid30s,aac-256,True,a9cc67f1,a9cc67f1,True,True,0.7266,2
input-mid30s,youtube-1080p,True,a9cc67f1,a9cc67f1,True,True,0.7266,2
input-mid30s,youtube-720p,True,a9cc67f1,a9cc67f1,True,True,0.7266,2
input-mid30s,metadata-stripped,True,a9cc67f1,a9cc67f1,True,True,0.7344,2
input-mid30s,aac-64,True,a8cc67f1,a9cc67f1,False,False,0.7109,2
input-mid30s,mp3-128,True,a9cc67f1,a9cc67f1,True,True,0.7188,2
input-mid30s,opus-96,True,a9cc67f1,a9cc67f1,True,True,0.7188,2
input-mid30s,volume-up-6db,True,a9cc67f1,a9cc67f1,True,True,0.7109,2
input-mid30s,volume-down-6db,True,a9cc67f1,a9cc67f1,True,True,0.7188,2
es-30s,identity,True,3e402efc,3fc0eef9,False,False,0.7188,2
es-30s,aac-128,True,3e402ef8,3fc0eef9,False,False,0.7188,2
es-30s,aac-192,True,3e40aef8,3fc0eef9,False,False,0.7109,2
es-30s,aac-256,True,3e40aef8,3fc0eef9,False,False,0.7109,2
es-30s,youtube-1080p,True,3e40aef8,3fc0eef9,False,False,0.7109,2
es-30s,youtube-720p,True,3e402ef8,3fc0eef9,False,False,0.7188,2
es-30s,metadata-stripped,True,3e402efc,3fc0eef9,False,False,0.7188,2
es-30s,aac-64,True,3e402ef8,3fc0eef9,False,False,0.7344,2
es-30s,mp3-128,True,3fc0eef9,3fc0eef9,True,True,0.6719,2
es-30s,opus-96,True,3f40aef8,3fc0eef9,False,False,0.7188,2
es-30s,volume-up-6db,True,3e402ef8,3fc0eef9,False,False,0.7188,2
es-30s,volume-down-6db,True,3f40aef9,3fc0eef9,False,False,0.7188,2
